,S_incomepc
948,415.0
949,686.1111
950,560.0
951,600.0
952,506.66666
953,509.33334
954,560.0
955,565.625
956,1195.5333
957,400.0
958,0.0
959,666.6667
960,816.6666
961,933.3333
962,330.0
963,720.0
964,666.6667
965,737.5
966,2000.0
967,700.0
968,2666.6667
969,837.5
970,525.0
971,534.44446
972,0.0
973,0.0
974,560.0
975,800.0
976,857.1429
977,600.0
978,754.1667
979,1200.0
980,1187.5
981,1000.0
982,666.6667
983,960.0
984,1241.6666
985,1128.8889
986,533.3333
987,550.0
988,525.0
989,1576.6667
990,1500.0
991,371.1111
992,0.0
993,2106.6667
994,800.0
995,535.0
996,700.0
997,0.0
998,0.0
999,716.6667
1000,760.0
1001,600.0
1002,1104.1666
1003,820.0
1004,0.0
1005,666.6667
1006,736.6666
1007,1733.3333
1008,1768.6666
1009,640.0
1010,185.0641
1011,533.3333
1012,1120.0
1013,1001.6667
1014,480.0
1015,1600.0
1016,472.72726
1017,1080.0
1018,166.66667
1019,466.66666
1020,975.0
1021,705.0
1022,685.7143
1023,970.0
1024,400.0
1025,421.66666
1026,972.05554
1027,1920.0
1028,806.6666
1029,1065.0
1030,406.94446
1031,904.7619
1032,1093.857
1033,800.0
1034,726.6667
1035,350.0
1036,1200.0
1037,340.0
1038,666.6667
1039,1134.2856
1040,2570.0
1041,820.0
1042,1961.6666
1043,800.0
1044,533.3333
1045,800.0
1046,533.3333
1047,1160.4166
1048,948.3809
1049,541.6667
1050,420.83334
1051,352.38095
1052,600.0
1053,487.5
1054,785.3333
1055,780.55554
1056,480.0
1057,953.3333
1058,628.5714
1059,676.03326
1060,434.2857
1061,2333.3335
1062,760.0
1063,838.0953
1064,486.4
1065,656.0
1066,690.0
1067,355.20834
1068,568.3334
1069,857.1429
1070,780.0
1071,866.6667
1072,0.0
1073,595.2381
1074,635.55554
1075,960.0
1076,609.3334
1077,466.66666
1078,520.0
1079,653.3334
1080,496.66666
1081,400.0
1082,1013.3333
1083,1443.75
1084,953.0
1085,758.3333
1086,0.0
1087,675.0
1088,1493.0667
1089,0.0
1090,1800.0
1091,760.0
1092,558.3333
1093,666.6667
1094,892.381
1095,480.0
1096,466.66666
1097,665.0
1098,235.71428
1099,616.6667
1100,530.0
1101,4399.2666
1102,760.0
1103,647.9167
1104,906.6667
1105,1655.5555
1106,620.8334
1107,0.0
1108,631.25
1109,620.0
1110,1378.5714
1111,416.66666
1112,1021.6666
1113,486.4
1114,700.0
1115,653.3334
1116,793.33325
1117,800.0
1118,480.0
1119,1058.3334
1120,540.0
1121,1925.0
1122,1000.0
1123,1708.3334
1124,661.11115
1125,800.0
1126,288.8889
1127,491.1111
1128,362.44904
1129,1777.1428
1130,666.6667
1131,1031.25
1132,0.0
1133,1080.5555
1134,250.0
1135,1495.0
1136,800.0
1137,184.0
1138,620.8333
1139,815.0
1140,1283.3334
1141,547.2222
1142,0.0
1143,740.0
1144,975.0
1145,834.2857
1146,1200.0
1147,833.3333
1148,795.0
1149,625.0
1150,591.6667
1151,800.0
1152,295.2381
1153,1333.3334
1154,1021.4
1155,825.6
1156,880.0
1157,0.0
1158,680.0
1159,709.5238
1160,720.0
1161,1648.6666
1162,380.0
1163,480.0
1164,533.3333
1165,400.0
1166,400.0
1167,985.0
1168,1453.3334
1169,1433.3334
1170,2300.0
1171,480.0
1172,510.41666
1173,1262.5
1174,708.3333
1175,917.0
1176,0.0
1177,1583.3333
1178,566.6667
1179,818.3333
1180,683.5416
1181,949.7084
1182,1619.4445
1183,1239.7223
1184,444.44446
1185,1749.3334
1186,492.85715
